"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJESKILL_HUNTING_NAME","HUNTING","HUNTING","LOV","JAGD","ОХОТА","POLOWANIE","VADÁSZAT","A CACCIA","CAZA","CHASSE","打猎","狩猟","CAÇA","打猎",
"STR_TERJESKILL_FISH_MASTERFILLET","Sushi master","Sushi master","Sushi mistr","Sushi-Meister","Суши мастер","Sushi master","Sushi mester","Maestro sushi","Maestro de sushi","Maître sushi","寿司大师","寿司マスター","Sushi master","寿司大师",
"STR_TERJESKILL_FISH_MASTERFILLET_DES","Your fish cutting skills allow you to extract more fillets. Each fish brings you more valuable cooking resources.","Your fish cutting skills allow you to extract more fillets. Each fish brings you more valuable cooking resources.","Vaše dovednosti v řezání ryb vám umožní extrahovat více filetů. Každá ryba vám přináší více cenných zdrojů na vaření.","Mit Ihren Fischschneidefähigkeiten können Sie mehr Filets extrahieren. Jeder Fisch bringt Ihnen mehr wertvolle Ressourcen zum Kochen.","Ваши навыки разделки рыбы позволяют извлекать больше филе. Каждая рыба приносит вам больше ценных ресурсов для приготовления пищи.","Twoje umiejętności rzeźbienia ryb pozwalają wydobyć więcej filetów. Każda ryba zapewnia więcej cennych zasobów do gotowania.","A halvágási képességei lehetővé teszik, hogy több filét nyerjen ki. Minden hal értékesebb szakácsforrásokat hoz.","Le tue abilità di taglio del pesce ti consentono di estrarre più filetti. Ogni pesce ti porta più risorse preziose per cucinare.","Sus habilidades de corte de pescado le permiten extraer más filetes. Cada pescado te trae más recursos valiosos para cocinar.","Vos compétences en coupe de poisson vous permettent d'extraire plus de filets. Chaque poisson vous apporte plus de ressources précieuses pour cuisiner.","你的鱼切割技巧可以让你提取更多的鱼片。 每条鱼都为您带来更多宝贵的烹饪资源。","あなたの魚の切断の技術はより多くの切り身を得ることを可能にする。 それぞれの魚はあなたにもっと貴重な料理資源をもたらします。","Suas habilidades de corte de peixe permitem que você extraia mais filetes. Cada peixe traz mais recursos valiosos para cozinhar.","你的鱼切割技巧可以让你提取更多的鱼片。 每条鱼都为您带来更多宝贵的烹饪资源。",
"STR_TERJESKILL_FISH_QUICKCLEANING","Quick cleaning","Quick cleaning","Rychlé čištění","Schnelle Reinigung","Быстрая очистка","Szybkie czyszczenie","Gyors tisztítás","Pulizia rapida","Limpieza rápida","Nettoyage rapide","快速清洁","クイッククリーニング","Limpeza rápida","快速清洁",
"STR_TERJESKILL_FISH_QUICKCLEANING_DES","Your fish cutting skills are at the highest level. You clean and butcher fish much faster.","Your fish cutting skills are at the highest level. You clean and butcher fish much faster.","Vaše dovednosti řezání ryb jsou na špičkové úrovni. Ryby výrazně rychleji očistíte a nakrájíte.","Ihre Fähigkeiten beim Schneiden von Fischen sind erstklassig. Sie reinigen und schneiden den Fisch wesentlich schneller ab.","Ваши навыки разделки рыбы на высшем уровне. Вы значительно быстрее очищаете и разделываете рыбу.","Twoje umiejętności cięcia ryb są na najwyższym poziomie. Znacznie szybciej obierasz i kroisz ryby.","A halak vágása a legmagasabb szinten van. Ön tiszta és hentes hal sokkal gyorsabb.","Le tue abilità di macellazione del pesce sono di prim'ordine. Pulisci e macella il pesce molto più velocemente.","Sus habilidades de corte de pescado son de primera clase. Usted limpia y corta el pescado mucho más rápido.","Vos compétences de coupe de poisson sont de haut niveau. Vous nettoyez et coupez le poisson beaucoup plus rapidement.","你的鱼切割技能处于最高水平。 你清理和屠宰鱼要快得多.","あなたの魚の切断スキルは最高レベルです。 あなたははるかに速く魚をきれいにして肉屋にします。","Suas habilidades de corte de peixe são de alto nível. Você limpa e descasca o peixe muito mais rápido.","你的鱼切割技能处于最高水平。 你清理和屠宰鱼要快得多.",
"STR_TERJESKILL_FISH_STRAIGHTARMS","Skillful hands","Skillful hands","Šikovné ruce","handwerkliche Fähigkeiten","Умелые руки","Zręczne ręce","Ügyes kezek","Mani","Manos habilidosas","Mains adroites","熟练的手","熟練した手","Mãos hábeis","熟练的手",
"STR_TERJESKILL_FISH_STRAIGHTARMS_DES","You handle fishing rods and tackle carefully, reducing their wear. Your gear lasts longer, allowing you to spend more time fishing without breakage.","You handle fishing rods and tackle carefully, reducing their wear. Your gear lasts longer, allowing you to spend more time fishing without breakage.","S pruty a náčiním zacházíte opatrně a snižujete jejich opotřebení. Vaše vybavení vydrží déle, což vám umožní trávit více času rybařením bez poruch.","Sie behandeln die Angelruten und Geräte vorsichtig und reduzieren deren Verschleiß. Ihre Ausrüstung hält länger und ermöglicht Ihnen, mehr Zeit ohne Bruch beim Angeln zu verbringen.","Вы аккуратно обращаетесь с удочками и снастями, уменьшая их износ. Ваше снаряжение служит дольше, позволяя вам больше времени проводить на рыбалке без поломок.","Ostrożnie obchodzisz się z wędkami i sprzętem, zmniejszając ich zużycie. Twój sprzęt wytrzymuje dłużej, pozwalając ci spędzać więcej czasu na łowieniu ryb bez awarii.","A horgászbotokat óvatosan kezeli, csökkentve azok kopását. A felszerelés hosszabb ideig tart,így több időt tölthet a halászat nélkül.","Maneggi delicatamente canne da pesca e attrezzatura, riducendo l'usura. La tua attrezzatura dura più a lungo, permettendoti di trascorrere più tempo a pescare senza rompersi.","Maneja las cañas de pescar y los aparejos con cuidado, reduciendo su desgaste. Su equipo dura más tiempo, lo que le permite pasar más tiempo pescando sin romperse.","Vous manipulez soigneusement les Cannes à pêche et les engins, réduisant ainsi leur usure. Votre équipement dure plus longtemps, vous permettant de passer plus de temps à pêcher sans rupture.","你小心处理钓竿和钓具,减少它们的磨损. 你的装备持续时间更长，让你花更多的时间钓鱼而不会破损。","あなたは釣り竿を扱い、慎重に取り組み、摩耗を減らします。 あなたのギアは長持ちし、破損することなくより多くの時間を釣りに費やすことができます。","Você manuseia cuidadosamente as varas de pesca e equipamentos, reduzindo seu desgaste. Seu equipamento dura mais tempo, permitindo que você passe mais tempo pescando sem quebrar.","你小心处理钓竿和钓具,减少它们的磨损. 你的装备持续时间更长，让你花更多的时间钓鱼而不会破损。",
"STR_TERJESKILL_FISH_MASTERTRAPS","Nets fishing","Nets fishing","Síťový rybolov","Netze angeln","Ловля сетями","Sieci rybackie","Halászhálók","Reti da pesca","Pesca con redes","Pêche aux filets","渔网捕鱼","ネット釣り","Redes de pesca","渔网捕鱼",
"STR_TERJESKILL_FISH_MASTERTRAPS_DES","Your fishing trap installation skills have improved. Traps become more effective, increasing your chances of a rich catch.","Your fishing trap installation skills have improved. Traps become more effective, increasing your chances of a rich catch.","Vaše dovednosti v instalaci rybářských pastí se zlepšily. Pasti se stávají účinnějšími a zvyšují vaše šance na bohatý úlovek.","Ihre Fangfangfangfähigkeiten haben sich verbessert. Fallen werden effektiver und erhöhen Ihre Chancen auf einen reichen Fang.","Ваши навыки установки рыболовных ловушек улучшились. Ловушки становятся более эффективными, увеличивая ваши шансы на богатый улов.","Poprawiły się Twoje umiejętności ustawiania pułapek wędkarskich. Pułapki stają się bardziej skuteczne, zwiększając szanse na bogaty połów.","A halászati csapda telepítési készségei javultak. A csapdák hatékonyabbá válnak, növelve a gazdag fogás esélyét.","Le tue abilità di impostazione delle trappole da pesca sono migliorate. Le trappole diventano più efficaci, aumentando le possibilità di una cattura ricca.","Sus habilidades de instalación de trampas de Pesca han mejorado. Las trampas se vuelven más efectivas, aumentando sus posibilidades de una captura rica.","Vos compétences en installation de pièges à pêche se sont améliorées. Les pièges deviennent plus efficaces, augmentant vos chances de capture riche.","您的钓鱼陷阱安装技能有所提高。 陷阱变得更有效，增加你的机会丰富的渔获。","あなたの釣りトラップのインストールスキルが向上しました。 トラップはより効果的になり、豊かなキャッチの可能性が高まります。","Suas habilidades de instalação de armadilhas de pesca melhoraram. As armadilhas se tornam mais eficazes, aumentando suas chances de uma captura rica.","您的钓鱼陷阱安装技能有所提高。 陷阱变得更有效，增加你的机会丰富的渔获。",
"STR_TERJESKILL_FISH_SKILLEDFISHERMAN","Clever fisherman","Clever fisherman","Šikovný rybář","Geschickter Fischer","Ловкий рыбак","Zręczny rybak","Egy okos halász","Pescatore agile","Pescador hábil","Pêcheur habile","聪明的渔夫","賢い漁師","Pescador esperto","聪明的渔夫",
"STR_TERJESKILL_FISH_SKILLEDFISHERMAN_DES","The chance of biting is increased, which allows you to pull out the catch faster and more often.","The chance of biting is increased, which allows you to pull out the catch faster and more often.","Šance na poklepání je větší, což vám umožní rychleji a častěji vytahovat úlovek.","Die Beißchance ist erhöht, sodass Sie den Fang schneller und häufiger herausziehen können.","Шанс поклёвки увеличен, что позволяет вам быстрее и чаще вытаскивать улов.","Szansę brania zwiększony, co pozwala szybciej i częściej wyciągać połów.","A harapás esélye megnő, ami lehetővé teszi, hogy gyorsabban és gyakrabban húzza ki a fogást.","La possibilità di mordere è aumentata, permettendoti di estrarre il pescato più velocemente e più spesso.","Las posibilidades de picoteo aumentan, lo que le permite sacar la captura más rápido y más a menudo.","Les chances de picorer sont augmentées, ce qui vous permet de tirer la capture plus rapidement et plus souvent.","咬的机会增加，这可以让你更快，更频繁地拉出渔获物。","噛む可能性が高くなり、キャッチをより速く、より頻繁に引き出すことができます。","A chance de morder é aumentada, o que permite que você retire a captura com mais rapidez e frequência.","咬的机会增加，这可以让你更快，更频繁地拉出渔获物。",
"STR_TERJESKILL_FISH_FISHERMANLUCK","Lucky fisherman","Lucky fisherman","Šťastný rybář","Glücklicher Fischer","Удачливый рыбак","Szczęśliwy rybak","Szerencsés Halász","Pescatore fortunato","Pescador afortunado","Pêcheur chanceux","幸运渔夫","ラッキーフィッシャーマン","Pescador sortudo","幸运渔夫",
"STR_TERJESKILL_FISH_FISHERMANLUCK_DES","Your fishing skills allow you to hook real trophies more often. The chances of catching a big fish are significantly increased, making each of your catches worthy of praise.","Your fishing skills allow you to hook real trophies more often. The chances of catching a big fish are significantly increased, making each of your catches worthy of praise.","Vaše rybářské dovednosti vám umožňují častěji tahat skutečné trofeje na háček. Šance na ulovení velké ryby jsou výrazně zvýšeny, takže každý váš úlovek je chvályhodný.","Ihre Angelfähigkeiten ermöglichen es Ihnen, echte Trophäen häufiger an den Haken zu ziehen. Die Chancen, große Fische zu fangen, sind erheblich erhöht und machen jeden Ihrer Fische lobenswert.","Ваши навыки в рыбалке позволяют вам чаще вытягивать на крючок настоящие трофеи. Шансы поймать крупную рыбу значительно увеличены, делая каждый ваш улов достойным похвалы.","Twoje umiejętności wędkarskie pozwalają częściej wyciągać prawdziwe trofea na haczyk. Szanse na złapanie dużej ryby są znacznie zwiększone, dzięki czemu każdy twój połów jest godny pochwały.","A halászati készségek lehetővé teszik, hogy gyakrabban kössön valódi trófeákat. Jelentősen megnő a nagy halak fogásának esélye, így minden fogása dicséretre méltó.","Le tue abilità di pesca ti consentono di agganciare trofei reali più spesso. Le possibilità di catturare pesci di grandi dimensioni sono notevolmente aumentate, rendendo ogni cattura degna di lode.","Tus habilidades de Pesca te permiten enganchar trofeos reales con más frecuencia. Las posibilidades de atrapar peces grandes aumentan considerablemente, lo que hace que cada captura sea digna de elogio.","Vos compétences en pêche vous permettent de tirer de vrais trophées plus souvent. Les chances d'attraper de gros poissons sont considérablement augmentées, rendant chacune de vos prises digne d'éloges.","你的钓鱼技巧可以让你更频繁地钩住真正的奖杯。 捕捉大鱼的机会显着增加，使您的每个渔获物值得赞扬。","あなたの釣りのスキルを使用すると、より頻繁に本物のトロフィーをフックすることができます。 大きな魚を捕まえる可能性が大幅に高まり、それぞれの漁獲量が賞賛に値するようになります。","Suas habilidades de pesca permitem que você puxe troféus reais com mais frequência. As chances de pegar um peixe grande são significativamente aumentadas, tornando cada uma de suas capturas digna de louvor.","你的钓鱼技巧可以让你更频繁地钩住真正的奖杯。 捕捉大鱼的机会显着增加，使您的每个渔获物值得赞扬。",
"STR_TERJESKILL_FISH_TACKLEREPAIR","Tackle repair","Tackle repair","Oprava vybavení","Reparatur von Ausrüstung","Ремонт снастей","Naprawa sprzętu","Tackle javítás","Riparazione dell'attrezzatura","Reparación de aparejos","Réparation d'engins","铲车维修","タックル修理","Reparação de equipamento","铲车维修",
"STR_TERJESKILL_FISH_TACKLEREPAIR_DES","You can easily repair damaged gear. Your knowledge and experience allow you to repair equipment quickly and efficiently.","You can easily repair damaged gear. Your knowledge and experience allow you to repair equipment quickly and efficiently.","Snadno opravíte poškozené vybavení. Vaše znalosti a zkušenosti vám umožní rychle a efektivně opravit zařízení.","Sie können beschädigte Geräte leicht reparieren. Ihr Wissen und Ihre Erfahrung ermöglichen eine schnelle und effiziente Reparatur von Geräten.","Вы с лёгкостью восстанавливаете повреждённые снасти. Ваши знания и опыт позволяют быстро и эффективно чинить оборудование.","Z łatwością naprawiasz uszkodzony sprzęt. Twoja wiedza i doświadczenie pozwalają na szybką i sprawną naprawę sprzętu.","Könnyen megjavíthatja a sérült felszerelést. Tudása és tapasztalata lehetővé teszi a berendezések gyors és hatékony javítását.","Ripari facilmente l'attrezzatura danneggiata. La tua conoscenza ed esperienza ti consente di riparare l'attrezzatura in modo rapido ed efficiente.","Usted puede reparar fácilmente los trastos dañados. Sus conocimientos y experiencia le permiten reparar equipos de manera rápida y eficiente.","Vous pouvez facilement réparer les engins endommagés. Vos connaissances et votre expérience vous permettent de réparer l'équipement rapidement et efficacement.","您可以轻松修复损坏的齿轮。 您的知识和经验使您能够快速有效地修理设备.","損傷したギアを簡単に修復できます。 あなたの知識および経験は装置を迅速かつ効率的に修理することを可能にする。","Você pode facilmente reparar equipamentos danificados. O seu conhecimento e experiência permitem-lhe reparar o seu equipamento de forma rápida e eficiente.","您可以轻松修复损坏的齿轮。 您的知识和经验使您能够快速有效地修理设备.",
"STR_TERJESKILL_FISH_RELIABLEGEAR","Reliable tackles","Reliable tackles","Spolehlivé nářadí","Zuverlässige Tackles","Надежные снасти","Niezawodne rozwiązania","Megbízható megoldások","Placcaggi affidabili","Tacleadas fiables","Plaquages fiables","可靠的铲球","信頼性の高いタックル","Tackles fiáveis","可靠的铲球",
"STR_TERJESKILL_FISH_RELIABLEGEAR_DES","Your skills allow you to reduce the chance of losing tackle or bait when fishing. You know exactly how to handle the rod and tackle, minimizing the risk of loss.","Your skills allow you to reduce the chance of losing tackle or bait when fishing. You know exactly how to handle the rod and tackle, minimizing the risk of loss.","Vaše dovednosti vám umožní snížit pravděpodobnost ztráty náčiní nebo návnady při rybolovu. Víte přesně, jak zacházet s tyčí a řešit, minimalizovat riziko ztráty.","Ihre Fähigkeiten ermöglichen es Ihnen, die Wahrscheinlichkeit zu verringern, beim Angeln Angelgerät oder Köder zu verlieren. Sie wissen genau, wie Sie mit der Rute und dem Gerät umgehen müssen, um das Verlustrisiko zu minimieren.","Ваши навыки позволяют снизить вероятность потери снасти или наживки во время рыбалки. Вы точно знаете, как обращаться с удилищем и снастью, сводя риск потери к минимуму.","Twoje umiejętności pozwalają zmniejszyć ryzyko utraty sprzętu lub przynęty podczas łowienia. Wiesz dokładnie, jak obchodzić się z wędką i sprzętem, minimalizując ryzyko utraty.","Készségei lehetővé teszik, hogy csökkentse annak esélyét, hogy horgászás közben elveszítse a felszerelést vagy a csalit. Pontosan tudja, hogyan kell kezelni a rudat és kezelni, minimalizálva a veszteség kockázatát.","Le tue abilità ti consentono di ridurre la possibilità di perdere placcaggio o esca durante la pesca. Sai esattamente come gestire l'asta e affrontare, riducendo al minimo il rischio di perdita.","Tus habilidades te permiten reducir la posibilidad de perder aparejos o cebo al pescar. Sabes exactamente cómo manejar la caña y el aparejo, minimizando el riesgo de pérdida.","Vos compétences vous permettent de réduire les risques de perdre du matériel ou des appâts lors de la pêche. Vous savez exactement comment manipuler la canne et le matériel, minimisant ainsi le risque de perte.","你的技能可以让你减少钓鱼时失去钓具或诱饵的机会。 你确切地知道如何处理杆和铲球,最大限度地减少损失的风险.","あなたのスキルはあなたが釣りをするときにタックルや餌を失う可能性を減らすことを可能にします。 あなたはロッドとタックルを扱う方法を正確に知っていて、損失のリスクを最小限に抑えます。","Suas habilidades permitem reduzir a chance de perder equipamento ou isca ao pescar. Você sabe exatamente como manusear a haste e o equipamento, minimizando o risco de perda.","你的技能可以让你减少钓鱼时失去钓具或诱饵的机会。 你确切地知道如何处理杆和铲球,最大限度地减少损失的风险.",
"STR_TERJESKILL_FISH_LUCKMAGNET","Good Luck Magnet","Good Luck Magnet","Magnet štěstí","Glücksmagnet","Магнит удачи","Magnes szczęścia","Sok Szerencsét Mágnes","Magnete di buona fortuna","Imán de la suerte","Aimant de chance","好运磁铁","開運マグネット","Ímã da sorte","好运磁铁",
"STR_TERJESKILL_FISH_LUCKMAGNET_DES","Your search skills with a magnet are so perfect that the chance to catch valuable items is significantly increased. Each cast can bring not only garbage, but also unexpected treasures.","Your search skills with a magnet are so perfect that the chance to catch valuable items is significantly increased. Each cast can bring not only garbage, but also unexpected treasures.","Vaše vyhledávací dovednosti s magnetem jsou tak dokonalé, že šance na vylovení cenných předmětů je výrazně zvýšena. Každý hod může přinést nejen odpadky, ale i nečekané poklady.","Ihre Suchfähigkeiten mit einem Magneten sind so perfekt, dass die Chance, wertvolle Gegenstände zu fangen, erheblich erhöht ist. Jeder Wurf kann nicht nur Müll, sondern auch unerwartete Schätze bringen.","Ваши поисковые навыки с магнитом настолько совершенны, что шанс выловить ценные предметы значительно увеличен. Каждый заброс может принести не только мусор, но и неожиданные сокровища.","Twoje umiejętności wyszukiwania z magnesem są tak doskonałe, że szansa na złapanie cennych przedmiotów jest znacznie zwiększona. Każdy rzut może przynieść nie tylko śmieci, ale także nieoczekiwane skarby.","A mágneses Keresési készségei annyira tökéletesek, hogy jelentősen megnő az esély az értékes tárgyak elkapására. Minden öntvény nemcsak szemetet, hanem váratlan kincseket is hozhat.","Le tue abilità di ricerca con il magnete sono così perfette che la possibilità di pescare oggetti di valore è notevolmente aumentata. Ogni lancio può portare non solo spazzatura, ma anche tesori inaspettati.","Sus habilidades de búsqueda con el imán son tan perfectas que la posibilidad de capturar objetos valiosos se incrementa considerablemente. Cada lanzamiento puede traer no solo basura, sino también tesoros inesperados.","Vos compétences de recherche avec l'aimant sont si parfaites que la chance d'attraper des objets de valeur est considérablement augmentée. Chaque jet peut apporter non seulement des ordures, mais aussi des trésors inattendus.","你的搜索技巧与磁铁是如此完美，抓住有价值的物品的机会显着增加。 每个演员不仅可以带来垃圾，还可以带来意想不到的宝藏。","磁石であなたの検索スキルは貴重なアイテムをキャッチする機会が大幅に増加するように完璧です。 各キャストはゴミだけでなく、予期しない宝物も持ってくることができます。","Suas habilidades de busca com um ímã são tão perfeitas que a chance de pegar itens valiosos é significativamente aumentada. Cada jogo pode trazer não apenas lixo, mas também tesouros inesperados.","你的搜索技巧与磁铁是如此完美，抓住有价值的物品的机会显着增加。 每个演员不仅可以带来垃圾，还可以带来意想不到的宝藏。",
"STR_TERJESKILL_FISH_REMROT","Cutting rot","Cutting rot","Řezání hniloby","Fäulnis ausschneiden","Вырезание гнили","Cięcie zgnilizny","A rothadás kivágása","Scolpire il marciume","Cortar la podredumbre","Couper la pourriture","切割腐烂","腐敗を切り取る","Corte de podridão","切割腐烂",
"STR_TERJESKILL_FISH_REMROT_DES","Your fish cutting skills make it easy to remove rotten areas while keeping the meat as fit as possible. Even a damaged catch can be saved.","Your fish cutting skills make it easy to remove rotten areas while keeping the meat as fit as possible. Even a damaged catch can be saved.","Vaše dovednosti v oblasti krájení ryb vám umožní snadno odstranit shnilé oblasti a zároveň udržet maso co nejpohodlnější. I poškozený úlovek se dá zachránit.","Ihre Fähigkeiten beim Schneiden von Fischen ermöglichen es Ihnen, faule Bereiche leicht zu entfernen, während Sie das Fleisch so gut wie möglich halten. Selbst ein beschädigter Fang kann gerettet werden.","Ваши навыки разделки рыбы позволяют с легкостью удалять гнилые участки, сохраняя максимально пригодное мясо. Даже поврежденный улов можно спасти.","Twoje umiejętności rzeźbienia ryb pozwalają z łatwością usuwać zgniłe obszary, zachowując jak najlepsze dopasowanie mięsa. Nawet uszkodzony połów można uratować.","Halvágási képességei megkönnyítik a rothadt területek eltávolítását, miközben a hús a lehető legmegfelelőbb marad. Még egy sérült fogás is menthető.","Le tue abilità di macellazione del pesce ti consentono di rimuovere facilmente le aree marce, mantenendo la carne più adatta possibile. Anche una cattura danneggiata può essere salvata.","Sus habilidades de corte de pescado le permiten eliminar las áreas podridas con facilidad, manteniendo la carne lo más adecuada posible. Incluso la captura dañada se puede salvar.","Vos compétences en coupe de poisson vous permettent d'éliminer facilement les zones pourries tout en conservant la viande la plus appropriée possible. Même une capture endommagée peut être sauvée.","你的鱼切割技巧可以很容易地去除腐烂的区域，同时保持肉尽可能适合。 即使是损坏的渔获物也可以保存。","あなたの魚の切断スキルは、肉をできるだけフィットさせながら腐った部分を簡単に取り除くことを可能にします。 損傷したキャッチでさえも救うことができます。","Suas habilidades de corte de peixe permitem que você remova facilmente áreas podres, mantendo a carne mais adequada. Mesmo uma captura danificada pode ser salva.","你的鱼切割技巧可以很容易地去除腐烂的区域，同时保持肉尽可能适合。 即使是损坏的渔获物也可以保存。",
"STR_TERJESKILL_FISH_WORMHUNTER","Worms hunter","Worms hunter","Lovec červů","Wurmjäger","Охотник на червей","Łowca robaków","A Worm Hunter","Cacciatore di vermi","Cazador de gusanos","Chasseur de vers","蠕虫猎人","ワームハンター","Caçador de vermes","蠕虫猎人",
"STR_TERJESKILL_FISH_WORMHUNTER_DES","Each of your digs brings in more worms than usual. Your experience and attentiveness allow you to find more worms in one dig.","Each of your digs brings in more worms than usual. Your experience and attentiveness allow you to find more worms in one dig.","Každé vykopání přináší více červů než obvykle. Vaše zkušenosti a ohleduplnost vám umožní najít více červů v jednom otvoru.","Jedes Graben bringt mehr Würmer als gewöhnlich mit sich. Ihre Erfahrung und Sorgfalt ermöglicht es Ihnen, mehr Würmer in einem einzigen Graben zu finden.","Каждое ваше выкапывание приносит больше червей, чем обычно. Ваш опыт и внимательность позволяют находить больше червей за одну вскопку.","Każde wykopanie przynosi więcej robaków niż zwykle. Twoje doświadczenie i uważność pozwalają znaleźć więcej robaków za jednym razem.","Mindegyik ásatása a szokásosnál több férget hoz be. Tapasztalata és figyelmessége lehetővé teszi, hogy több férget találjon egy ásásban.","Ogni scavo che fai porta più vermi del solito. La tua esperienza e attenzione ti consentono di trovare più vermi in un unico scavo.","Cada excavación trae más gusanos de lo normal. Su experiencia y atención le permiten encontrar más gusanos en una excavación.","Chaque fois que vous creusez apporte plus de vers que d'habitude. Votre expérience et votre attention vous permettent de trouver plus de vers en une seule fouille.","你的每一个挖掘都带来了比平常更多的蠕虫。 你的经验和注意力让你在一次挖掘中找到更多的蠕虫。","あなたの掘り出し物のそれぞれは、通常よりも多くのワームをもたらします。 あなたの経験と注意力は、あなたが1つの発掘でより多くのワームを見つけることを可能にします。","Cada escavação traz mais vermes do que o habitual. Sua experiência e atenção permitem que você encontre mais vermes em uma escavação.","你的每一个挖掘都带来了比平常更多的蠕虫。 你的经验和注意力让你在一次挖掘中找到更多的蠕虫。",
"STR_TERJESKILL_FISH_CRAFTSMAN","Craftsman","Craftsman","Mistr kutil","Meister der selbstgemachte","Мастер самоделок","Mistrz domowej roboty","DIY kézműves","Maestro fai-da-te","Maestro de bricolaje","Maître artisan","DIY工匠","DIY職人","Mestre caseiro","DIY工匠",
"STR_TERJESKILL_FISH_CRAFTSMAN_DES","You have learned how to create improvised fishing rods and tackles from the trash.","You have learned how to create improvised fishing rods and tackles from the trash.","Naučili jste se vyrábět domácí pruty a náčiní z domácích prostředků.","Sie haben gelernt, selbstgemachte Angelruten und Tackle aus improvisierten Mitteln zu erstellen.","Вы научились создавать самодельные удочки и снасти из подручных средств.","Nauczyłeś się tworzyć domowe wędki i sprzęt z improwizowanych środków.","Megtanultad, hogyan készíthetsz házi horgászbotokat és kezelheted a rögtönzött eszközöket.","Hai imparato a creare canne da pesca e attrezzatura fatte in casa da mezzi improvvisati.","Has aprendido a crear cañas de pescar caseras y aparejos a partir de herramientas improvisadas.","Vous avez appris à créer des Cannes à pêche et des engins de fortune à partir de moyens improvisés.","你已经学会了如何用即兴工具制作自制的钓竿和钓具.","あなたは自家製の釣り竿を作り、即興の道具から取り組む方法を学びました。","Você aprendeu a criar varas de pesca caseiras e equipamentos a partir de meios improvisados.","你已经学会了如何用即兴工具制作自制的钓竿和钓具.",
"STR_TERJESKILL_FISH_TENSIONCONTROL","Tension control","Tension control","Kontrola napětí","Kontrolle der Spannung","Контроль натяжения","Kontrola napięcia","Feszültségszabályozás","Controllo della tensione","Control de tensión","Contrôle de tension","张力控制","張力制御","Controle de tensão","张力控制",
"STR_TERJESKILL_FISH_TENSIONCONTROL_DES","You perfectly control the tension of the fishing line, reducing the risk of its rupture. The chances of losing fish while fishing are significantly reduced, allowing you to pull out prey more often.","You perfectly control the tension of the fishing line, reducing the risk of its rupture. The chances of losing fish while fishing are significantly reduced, allowing you to pull out prey more often.","Dokonale ovládáte napětí vlasce, čímž snížíte riziko prasknutí vlasce. Šance, že ztratíte rybu při vyklízení, se výrazně snižují, což vám umožní vytáhnout kořist častěji.","Sie steuern die Spannung der Angelschnur perfekt und reduzieren das Risiko, dass sie reißt. Die Chancen, Fische zu verlieren, während Sie gezüchtet werden, sind stark reduziert, sodass Sie die Beute häufiger herausziehen können.","Вы идеально контролируете натяжение лески, снижая риск её разрыва. Шансы потерять рыбу при вываживании значительно уменьшаются, позволяя вам чаще вытаскивать добычу.","Doskonale kontrolujesz napięcie żyłki, zmniejszając ryzyko jej zerwania. Szanse na utratę ryby podczas holowania są znacznie zmniejszone, co pozwala częściej wyciągać zdobycz.","Ön tökéletesen ellenőrzi a horgászzsinór feszültségét, csökkentve annak szakadásának kockázatát. Jelentősen csökken a halak elvesztésének esélye a halászat során, ami lehetővé teszi, hogy gyakrabban húzza ki a zsákmányt.","Controlli perfettamente la tensione della lenza, riducendo il rischio di strapparla. Le possibilità di perdere il pesce durante l'allevamento sono notevolmente ridotte, permettendoti di estrarre la preda più spesso.","Usted controla perfectamente la tensión de la línea de Pesca, reduciendo el riesgo de que se rompa. Las posibilidades de perder peces al salir se reducen significativamente, lo que le permite sacar presas con más frecuencia.","Vous contrôlez parfaitement la tension de la ligne de pêche, réduisant ainsi le risque de rupture. Les chances de perdre du poisson lors de la cueillette sont considérablement réduites, ce qui vous permet de retirer vos proies plus souvent.","您可以完美地控制鱼线的张力，降低其破裂的风险。 钓鱼时失去鱼的机会显着减少，让您更频繁地拉出猎物。","あなたは釣り糸の張力を完全に制御し、その破裂の危険性を減らします。 釣り中に魚を失う可能性が大幅に減少し、獲物をより頻繁に引き出すことができます。","Você controla perfeitamente a tensão da linha de pesca, reduzindo o risco de ruptura. As chances de perder o peixe durante a eclosão são significativamente reduzidas, permitindo que você puxe a presa com mais frequência.","您可以完美地控制鱼线的张力，降低其破裂的风险。 钓鱼时失去鱼的机会显着减少，让您更频繁地拉出猎物。",
"STR_TERJESKILL_FISHING_NAME","FISHING","FISHING","RYBOLOV","ANGELN","РЫБАЛКА","RYBACKI","HALÁSZAT","PESCA","PESCA","PÊCHE","钓鱼","釣り","PESCA","钓鱼",
